Namn på organisation,Org nr organisation,Postort organisation,Lagstöd verksamhet,Status tillsynsobjekt,Lag verksamhetsinnehåll,Lagrum verksamhetsinnehåll,Typ av boende verksamhetsinnehåll
035 Vård & Omsorg AB,556750-9756,Halmstad,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
08Team AB,559310-5975,Farsta,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
08Team AB,559310-5975,Farsta,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
1:a Assistanskompaniet AB,556817-1903,Solna,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
1:a L.I.F Omsorg AB,556905-7572,BROMMA,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
12 & 12 behandlingshem AB,556446-9020,LUNDE,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"1A Lindalens Omsorg
 Stockholm AB",556985-9498,BANDHAGEN,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
2007 NannyNu AB,556662-0851,JOHANNESHOV,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
2007 NannyNu AB,556662-0851,JOHANNESHOV,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
2U ASSISTANS AB,559156-0262,ÖREBRO,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
33:ans Stöd och Service AB,556784-2991,Åkersberga,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
3O Kvarngården AB,556131-2504,LUDVIGSBORG,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
3O Stjärnhusen AB,556136-9637,LUDVIGSBORG,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"4 you personlig assistans i
 Värmland AB",556809-4675,Karlskoga,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
4 You Redovisning/Assistans i Jönköping AB,556879-5743,JÖNKÖPING,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
4:e Våningen i Jönköping AB,556607-9249,JÖNKÖPING,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
